date,snow_depth_in,swe_in,precip_in,year,month
1994-10-01,,0.0,0.0,1994,10
1994-11-01,,3.2,16.7,1994,11
1994-12-01,,21.2,44.1,1994,12
1995-01-01,,31.3,68.9,1995,1
1995-02-01,,35.6,83.6,1995,2
1995-03-01,,33.3,99.7,1995,3
1995-04-01,,36.2,113.9,1995,4
1995-05-01,,37.8,123.5,1995,5
1995-06-01,,6.2,128.5,1995,6
1995-07-01,,0.0,134.9,1995,7
1995-08-01,,0.0,139.9,1995,8
1995-09-01,,0.0,148.3,1995,9
1995-10-01,,0.0,0.0,1995,10
1995-11-01,,0.0,23.4,1995,11
1995-12-01,,0.4,70.2,1995,12
1996-01-01,,4.3,86.6,1996,1
1996-02-01,,14.8,115.2,1996,2
1996-03-01,,20.0,138.2,1996,3
1996-04-01,,22.1,144.6,1996,4
1996-05-01,,21.3,161.3,1996,5
1996-06-01,,12.5,172.5,1996,6
1996-07-01,,0.0,175.1,1996,7
1996-08-01,,0.0,179.6,1996,8
1996-09-01,,0.0,184.9,1996,9
1996-10-01,,0.0,0.0,1996,10
1996-11-01,,2.2,22.4,1996,11
1996-12-01,,10.4,46.0,1996,12
1997-01-01,,33.1,74.7,1997,1
1997-02-01,,43.6,102.0,1997,2
1997-03-01,,55.7,120.8,1997,3
1997-04-01,,67.8,154.0,1997,4
1997-05-01,,72.6,171.8,1997,5
1997-06-01,,48.7,177.1,1997,6
1997-07-01,,13.1,183.6,1997,7
1997-08-01,,0.0,193.2,1997,8
1997-09-01,,0.0,195.3,1997,9
1997-10-01,,0.0,0.0,1997,10
1997-11-01,,0.0,22.0,1997,11
1997-12-01,,3.2,36.0,1997,12
1998-01-01,,13.2,53.5,1998,1
1998-02-01,,33.5,81.4,1998,2
1998-03-01,,41.6,92.1,1998,3
1998-04-01,,50.0,107.5,1998,4
1998-05-01,,47.2,112.8,1998,5
1998-06-01,,29.6,123.2,1998,6
1998-07-01,,0.0,129.3,1998,7
1998-08-01,,0.0,130.7,1998,8
1998-09-01,,0.0,131.5,1998,9
1998-10-01,,0.0,0.0,1998,10
1998-11-01,,0.0,15.1,1998,11
1998-12-01,,6.2,42.2,1998,12
1999-01-01,,19.3,74.2,1999,1
1999-02-01,,46.2,106.4,1999,2
1999-03-01,,65.8,126.0,1999,3
1999-04-01,,79.0,139.2,1999,4
1999-05-01,,81.7,144.6,1999,5
1999-06-01,,74.2,156.1,1999,6
1999-07-01,,30.5,167.6,1999,7
1999-08-01,,0.0,173.5,1999,8
1999-09-01,,0.0,177.5,1999,9
1999-10-01,,0.0,0.0,1999,10
1999-11-01,,0.0,15.3,1999,11
1999-12-01,,7.6,42.4,1999,12
2000-01-01,,21.6,76.1,2000,1
2000-02-01,,43.8,99.0,2000,2
2000-03-01,,53.6,111.8,2000,3
2000-04-01,,63.7,125.1,2000,4
2000-05-01,,55.0,138.0,2000,5
2000-06-01,,42.7,151.4,2000,6
2000-07-01,,0.0,159.9,2000,7
2000-08-01,,0.0,163.3,2000,8
2000-09-01,,0.0,165.7,2000,9
2000-10-01,,0.0,0.0,2000,10
2000-11-01,,0.0,7.7,2000,11
2000-12-01,,6.4,18.7,2000,12
2001-01-01,,15.1,30.7,2001,1
2001-02-01,,20.4,40.9,2001,2
2001-03-01,,24.7,48.2,2001,3
2001-04-01,,34.6,65.0,2001,4
2001-05-01,,41.6,79.1,2001,5
2001-06-01,,23.8,87.9,2001,6
2001-07-01,,0.0,97.3,2001,7
2001-08-01,,0.0,103.7,2001,8
2001-09-01,,0.0,109.3,2001,9
2001-10-01,,0.0,0.0,2001,10
2001-11-01,,0.9,20.6,2001,11
2001-12-01,,11.7,46.4,2001,12
2002-01-01,,28.9,71.0,2002,1
2002-02-01,,47.4,101.4,2002,2
2002-03-01,,56.6,118.3,2002,3
2002-04-01,,81.0,140.8,2002,4
2002-05-01,,72.3,158.0,2002,5
2002-06-01,,37.0,170.9,2002,6
2002-07-01,,0.0,179.9,2002,7
2002-08-01,,0.0,182.0,2002,8
2002-09-01,,0.0,182.6,2002,9
2002-10-01,,0.0,0.0,2002,10
2002-11-01,,0.0,3.4,2002,11
2002-12-01,,0.0,19.5,2002,12
2003-01-01,,7.6,32.7,2003,1
2003-02-01,,3.1,53.9,2003,2
2003-03-01,,12.1,64.5,2003,3
2003-04-01,,23.0,90.2,2003,4
2003-05-01,,26.4,101.0,2003,5
2003-06-01,,12.8,107.3,2003,6
2003-07-01,,0.0,109.0,2003,7
2003-08-01,,0.0,109.1,2003,8
2003-09-01,,0.0,109.5,2003,9
2003-10-01,0.0,0.0,0.0,2003,10
2003-11-01,0.0,0.0,20.3,2003,11
2003-12-01,30.0,13.4,46.8,2003,12
2004-01-01,66.0,23.7,61.7,2004,1
2004-02-01,88.0,35.4,87.1,2004,2
2004-03-01,95.0,39.8,99.4,2004,3
2004-04-01,103.0,48.7,118.6,2004,4
2004-05-01,78.0,38.9,124.9,2004,5
2004-06-01,32.0,15.0,137.4,2004,6
2004-07-01,0.0,0.0,142.7,2004,7
2004-08-01,0.0,0.0,145.1,2004,8
2004-09-01,0.0,0.0,158.9,2004,9
2004-10-01,0.0,0.0,0.0,2004,10
2004-11-01,5.0,1.6,13.8,2004,11
2004-12-01,12.0,2.4,33.5,2004,12
2005-01-01,22.0,7.0,53.2,2005,1
2005-02-01,15.0,7.1,69.1,2005,2
2005-03-01,24.0,12.8,75.5,2005,3
2005-04-01,29.0,18.7,87.8,2005,4
2005-05-01,23.0,14.0,96.9,2005,5
2005-06-01,0.0,0.0,106.0,2005,6
2005-07-01,0.0,0.0,113.5,2005,7
2005-08-01,0.0,0.0,117.7,2005,8
2005-09-01,0.0,0.0,118.5,2005,9
2005-10-01,0.0,0.0,0.0,2005,10
2005-11-01,0.0,0.0,12.5,2005,11
2005-12-01,42.0,13.6,31.6,2005,12
2006-01-01,28.0,16.2,47.7,2006,1
2006-02-01,86.0,37.9,83.6,2006,2
2006-03-01,102.0,50.9,95.6,2006,3
2006-04-01,112.0,61.1,105.0,2006,4
2006-05-01,100.0,62.2,115.7,2006,5
2006-06-01,53.0,37.8,125.2,2006,6
2006-07-01,0.0,0.0,132.8,2006,7
2006-08-01,0.0,0.0,133.5,2006,8
2006-09-01,0.0,0.0,134.0,2006,9
2006-10-01,0.0,0.0,0.0,2006,10
2006-11-01,2.0,0.8,10.2,2006,11
2006-12-01,38.0,14.9,47.7,2006,12
2007-01-01,52.0,22.8,63.0,2007,1
2007-02-01,78.0,38.6,85.8,2007,2
2007-03-01,126.0,51.7,103.7,2007,3
2007-04-01,99.0,56.8,132.1,2007,4
2007-05-01,92.0,56.0,142.9,2007,5
2007-06-01,51.0,28.0,146.6,2007,6
2007-07-01,0.0,0.0,154.0,2007,7
2007-08-01,0.0,0.0,155.8,2007,8
2007-09-01,0.0,0.0,159.6,2007,9
